NOT,UNKNOWN_0xb4,PUSH26,GAS,MUL,SWAP10,MULMOD,INVALID_0x72,ADDRESS,UNKNOWN_0xf,LOG4,INVALID_0x71,PUSH31,UNKNOWN_0xd9,DELEGATECALL,ISZERO,PUSH23,SWAP11,UNKNOWN_0xef,LOG0,UNKNOWN_0x24,SELFDESTRUCT,PUSH10,UNKNOWN_0xdb,INVALID_0x74,UNKNOWN_0xae,UNKNOWN_0xfc,CREATE,DUP9,SELFBALANCE,UNKNOWN_0x4d,PUSH11,UNKNOWN_0x49,UNOFFICIAL_PUSH,UNKNOWN_0xe5,POP,ORIGIN,PUSH18,SLOAD,UNKNOWN_0xbb,UNKNOWN_0xa9,UNKNOWN_0xe8,INVALID_0x7a,DIV,CREATE2,DUP3,INVALID_0x7d,UNKNOWN_0xd7,UNKNOWN_0x2b,UNKNOWN_0xa6,UNKNOWN_0x28,UNKNOWN_0xbf,DUP5,DUP13,UNKNOWN_0xa5,SWAP15,PUSH9,CALLDATALOAD,ADDMOD,UNKNOWN_0xcf,UNKNOWN_0xd6,UNKNOWN_0xac,GT,CHAINID,SGT,SWAP6,LT,SAR,UNKNOWN_0xee,UNKNOWN_0xb9,UNKNOWN_0xc0,PUSH4,PUSH17,PUSH19,INVALID_0x65,UNKNOWN_0x2e,INVALID_0x6f,PUSH30,UNKNOWN_0x2c,UNKNOWN_0xe0,UNKNOWN_0x5c,UNKNOWN_0x2d,EXTCODECOPY,JUMPDEST,PUSH13,UNKNOWN_0xaf,UNKNOWN_0xeb,UNKNOWN_0xec,UNKNOWN_0x5d,UNKNOWN_0xab,UNKNOWN_0xf8,UNKNOWN_0xf7,MSTORE8,UNKNOWN_0xf6,UNKNOWN_0xe2,INVALID_0x68,CALLVALUE,CALL,UNKNOWN_0xc2,UNKNOWN_0xde,UNKNOWN_0xd3,SDIV,UNKNOWN_0x29,UNKNOWN_0xc5,CALLCODE,PUSH16,INVALID_0x70,XOR,PUSH25,SHR,EXTCODEHASH,NUMBER,PUSH6,MSIZE,EXTCODESIZE,DUP10,UNKNOWN_0xb5,UNKNOWN_0xd4,SHA3,PUSH27,UNKNOWN_0x2a,UNKNOWN_0xe9,UNKNOWN_0x4b,PUSH7,UNKNOWN_0xbe,EXP,INVALID_0x7b,RETURN,UNKNOWN_0xaa,STATICCALL,CODECOPY,UNOFFICIAL_SWAP,PUSH29,INVALID_0x63,UNKNOWN_0xc8,UNKNOWN_0xcb,LOG2,UNKNOWN_0xe3,UNOFFICIAL_DUP,INVALID_0x76,PUSH24,UNKNOWN_0x22,UNKNOWN_0xb7,BASEFEE,ADD,UNKNOWN_0xa7,SWAP4,DUP7,PUSH2,UNKNOWN_0xba,INVALID_0x7f,BALANCE,UNKNOWN_0xcc,UNKNOWN_0xea,UNKNOWN_0x5f,UNKNOWN_0xa8,MSTORE,TIMESTAMP,UNKNOWN_0xcd,CALLER,SUB,PUSH15,UNKNOWN_0xc7,INVALID_0x77,INVALID_0x78,MLOAD,DIFFICULTY,SWAP16,UNKNOWN_0x23,BYTE,INVALID_0x7e,UNKNOWN_0xb6,SSTORE,LOG3,PUSH5,INVALID_0x73,UNKNOWN_0xd,BLOCKHASH,UNKNOWN_0xb3,SWAP1,SWAP12,UNKNOWN_0xad,UNKNOWN_0xed,MOD,STOP,UNKNOWN_0x4e,INVALID_0x67,SWAP8,PUSH12,SIGNEXTEND,GASLIMIT,DUP8,UNKNOWN_0xd8,CALLDATASIZE,PUSH3,INVALID_0x69,PC,UNKNOWN_0x26,SWAP9,INVALID_0x79,UNKNOWN_0x21,DUP15,PUSH21,CODESIZE,DUP14,UNKNOWN_0xd5,UNKNOWN_0xda,UNKNOWN_0xd0,UNKNOWN_0xdc,PUSH14,UNKNOWN_0x25,SMOD,UNKNOWN_0xe6,REVERT,SWAP3,UNKNOWN_0xe1,JUMPI,INVALID_0x6c,UNKNOWN_0x4f,UNKNOWN_0xc9,DUP1,UNKNOWN_0xc6,OR,UNKNOWN_0xc,SWAP2,UNKNOWN_0xfb,PUSH22,UNKNOWN_0x2f,UNKNOWN_0xbd,SWAP7,UNKNOWN_0xdf,PUSH32,LOG1,SLT,GASPRICE,INVALID_0x6d,RETURNDATASIZE,UNKNOWN_0xdd,UNKNOWN_0x4a,UNKNOWN_0x1f,UNKNOWN_0xc4,UNKNOWN_0xf9,DUP11,CALLDATACOPY,UNKNOWN_0xbc,JUMP,SWAP13,AND,DUP2,PUSH8,UNKNOWN_0xd1,EQ,UNKNOWN_0xc1,PUSH28,DUP4,DUP6,SWAP5,UNKNOWN_0xd2,DUP16,INVALID_0x6e,UNKNOWN_0x4c,UNKNOWN_0x27,UNKNOWN_0xce,UNKNOWN_0xe4,SWAP14,DUP12,UNKNOWN_0xc3,INVALID_0x75,INVALID_0x66,UNKNOWN_0xfe,COINBASE,UNKNOWN_0xe7,PUSH20,RETURNDATACOPY,PUSH1,UNKNOWN_0x5e,SHL,UNKNOWN_0xca,UNKNOWN_0x1e,INVALID_0x7c,INVALID_0x6b,UNKNOWN_0xb8,UNKNOWN_0xe
59,0,4,27,63,4,0,0,46,0,3,0,0,1,1,35,2,5,0,0,0,0,4,0,0,0,1,1,63,52,0,1,0,4,0,29,11,1,85,0,0,0,0,55,1,26,0,1,0,0,5,0,35,7,0,0,0,125,3,0,1,2,53,4,0,6,56,0,1,0,0,41,5,6,0,0,0,1,0,0,1,1,0,14,4,7,1,2,1,0,0,1,2,2,3,0,60,8,1,0,0,0,6,1,2,75,0,0,22,65,0,8,21,1,13,5,1,0,65,5,0,0,2,7,0,33,0,31,1,3,24,0,9,0,2,0,36,1,0,0,4,23,0,0,29,1,44,36,18,0,0,2,0,1,1,0,17,1,0,56,42,33,0,0,0,14,0,4,0,0,1,0,44,29,45,2,1,3,0,9,0,0,0,0,10,0,0,3,5,1,9,18,0,84,14,0,0,0,2,0,1,1,13,4,21,1,2,0,1,1,7,1,0,58,32,2,16,0,4,0,23,0,60,0,29,13,16,2,9,1,1,29,69,76,40,0,16,1,0,0,0,0,36,23,1,40,0,22,10,1,0,33,0,0,24,33,6,0,0,0,1,0,0,0,2,1,2,0,0,42,2,0,23,5,12,1,29,0,1,1,0,1,0
55,0,0,31,66,2,0,0,59,0,28,0,0,0,0,45,0,5,0,1,0,3,5,0,2,0,0,6,34,30,0,6,0,2,1,25,13,0,85,0,0,2,3,48,4,26,0,0,1,2,2,0,51,9,0,0,11,119,11,0,2,0,75,16,0,9,72,0,1,0,0,34,4,20,0,2,0,0,0,1,0,0,0,13,1,4,1,0,3,0,0,0,3,0,2,0,50,6,0,4,4,1,8,0,0,90,0,0,1,42,0,11,10,5,10,18,1,0,39,8,0,0,0,15,0,17,0,16,1,16,40,0,11,0,0,0,40,0,0,0,5,15,0,0,56,1,27,32,28,1,0,1,0,0,0,0,28,5,0,45,44,11,0,0,0,34,0,0,0,1,1,0,38,38,48,0,2,0,0,20,0,0,0,4,17,1,0,3,3,1,5,11,0,114,7,0,1,0,4,0,0,1,10,0,15,0,3,0,1,5,0,0,2,64,44,0,19,0,3,0,16,1,65,0,12,0,32,0,0,4,0,38,39,45,23,0,10,3,0,0,0,0,31,16,2,39,3,34,35,4,0,26,0,3,30,19,12,0,0,0,0,0,1,1,0,2,0,0,0,32,6,2,30,1,11,2,19,0,1,0,0,0,0
72,0,3,12,108,0,0,0,55,0,7,0,0,0,4,85,0,3,0,1,0,1,10,0,0,0,0,3,38,49,1,0,0,0,2,26,15,0,66,0,1,1,0,39,5,24,0,0,1,0,7,0,60,14,0,0,15,134,8,0,0,2,66,12,0,9,65,0,0,0,2,41,14,8,0,0,0,2,1,0,0,0,0,10,2,1,0,0,3,0,0,1,4,0,1,0,49,11,0,1,0,1,3,1,0,92,0,0,0,43,0,12,10,3,4,11,2,0,40,7,0,0,0,7,0,23,0,13,1,13,35,0,13,0,2,1,16,1,0,0,4,8,0,0,17,1,48,51,17,0,1,3,0,0,1,0,46,3,0,43,37,29,0,0,0,23,3,0,2,2,0,0,36,34,45,0,0,0,0,12,1,0,0,3,13,1,0,4,1,0,3,11,0,105,22,0,2,0,4,0,0,2,6,0,14,1,0,1,0,3,0,0,1,52,51,0,16,0,1,0,19,0,63,0,11,2,24,0,5,11,0,45,80,43,26,0,16,0,0,0,2,0,23,7,0,46,1,16,8,1,3,14,0,0,23,29,15,0,0,0,2,1,2,0,0,2,0,0,0,37,2,3,21,6,22,0,40,2,0,2,0,0,0
58,0,3,32,64,0,1,0,47,0,18,0,0,1,1,46,5,9,1,0,0,0,5,0,0,0,0,0,60,25,0,2,3,0,0,25,24,2,85,0,1,0,0,27,7,25,0,0,0,1,2,0,47,7,2,0,8,179,13,0,3,1,81,19,1,3,76,0,0,0,4,51,3,14,0,0,0,0,0,0,0,0,0,16,4,0,0,0,11,0,1,0,8,0,0,0,59,11,0,1,0,0,2,0,0,66,0,1,0,72,0,11,6,1,7,18,0,0,53,5,0,1,0,8,0,15,0,23,1,16,31,0,1,0,0,0,25,1,0,0,2,7,0,0,24,0,16,22,10,0,0,1,2,0,2,1,39,1,0,50,40,24,0,0,0,32,0,0,0,6,0,3,38,44,47,0,0,0,0,12,7,1,0,0,18,1,0,5,2,0,0,9,1,102,8,0,1,0,1,2,0,2,4,0,6,0,1,0,0,5,0,0,0,48,31,0,21,2,1,0,17,0,84,0,19,0,11,0,2,4,0,35,62,45,12,0,33,0,0,0,0,1,23,25,0,51,0,35,18,1,0,27,0,3,45,29,18,0,0,0,0,2,1,0,0,2,0,0,0,26,2,0,19,7,21,1,21,0,0,0,0,1,1
47,0,11,29,54,2,0,0,62,0,10,0,0,0,2,32,0,0,0,0,0,0,3,0,0,1,0,0,44,26,1,9,1,1,1,25,33,0,121,0,0,1,0,68,3,30,0,0,0,0,0,0,30,5,0,0,4,93,0,0,1,0,95,16,0,7,68,0,0,1,0,48,14,32,0,0,0,0,0,0,0,0,0,13,12,2,1,0,14,0,1,5,4,0,0,0,79,6,0,0,0,5,7,3,0,47,0,0,2,67,1,6,10,0,21,15,0,0,45,3,0,0,0,21,0,21,0,12,0,7,53,0,8,0,2,0,45,0,0,0,13,9,1,0,35,0,37,29,15,0,0,10,10,0,1,0,26,7,3,62,51,15,0,0,2,36,0,0,0,0,0,0,38,16,36,0,0,4,0,4,2,0,0,6,9,0,0,0,1,0,0,15,0,67,4,0,2,0,2,0,0,0,9,0,4,0,1,0,2,0,0,1,0,28,40,0,10,0,0,2,41,0,71,3,26,15,23,1,0,5,0,31,87,64,49,0,13,0,0,0,0,0,26,19,0,30,0,22,22,1,1,16,0,1,25,24,36,0,0,0,0,0,0,1,1,2,0,0,0,11,11,3,16,6,17,1,33,0,0,0,0,0,1
46,0,5,29,72,0,0,0,33,0,24,0,1,1,3,44,3,1,0,0,0,1,9,0,0,0,1,1,44,68,1,9,0,1,0,29,29,0,93,0,0,0,2,51,6,39,0,3,0,0,0,1,35,20,0,0,9,117,11,0,1,0,71,19,0,9,51,0,0,0,0,40,11,17,0,0,0,0,1,0,0,0,0,10,8,1,2,0,2,0,1,0,9,0,2,0,64,0,0,0,0,1,4,1,0,77,0,2,6,44,0,12,10,0,9,16,1,1,41,31,0,5,0,9,0,23,0,25,0,5,47,0,11,0,0,0,33,0,0,0,3,27,2,0,38,0,31,58,23,1,0,0,0,0,2,0,20,6,0,37,31,25,0,0,0,34,0,0,0,1,0,0,27,24,49,0,1,1,0,12,0,0,2,0,34,1,0,1,10,0,5,12,0,91,16,0,0,1,1,0,0,2,7,1,8,0,9,1,1,3,3,1,1,58,32,2,24,0,3,9,20,0,61,1,16,8,25,0,0,4,1,37,58,50,29,0,19,0,0,0,0,0,12,18,2,23,0,32,9,2,0,17,0,1,19,40,17,0,0,0,1,0,3,0,0,0,1,0,0,28,1,1,21,8,21,1,11,4,0,0,0,0,0
61,1,8,28,68,2,0,0,73,0,8,0,0,0,3,55,1,2,0,0,0,0,2,0,0,1,0,0,37,30,1,1,0,1,0,23,23,0,95,0,0,0,2,35,0,32,0,1,1,0,0,0,27,15,0,0,4,133,19,0,9,1,64,22,2,3,46,1,0,0,0,51,3,14,0,3,0,0,0,1,0,0,1,22,4,1,2,0,2,0,0,0,13,0,0,0,70,9,0,1,0,5,4,0,0,52,0,0,4,72,0,7,24,0,10,8,0,0,51,26,0,0,0,5,0,35,0,12,0,13,23,0,13,0,0,1,14,0,0,0,15,21,0,0,34,0,23,53,10,1,1,4,0,1,15,0,30,6,1,50,35,10,1,0,0,17,0,0,0,1,0,0,63,25,37,0,1,0,0,6,1,0,0,4,13,3,0,2,1,3,1,16,0,103,6,0,7,3,2,1,3,4,6,4,20,0,0,0,0,2,1,3,3,61,32,1,18,0,1,0,27,0,71,0,21,0,12,0,2,0,0,38,61,57,26,0,20,0,0,0,0,0,32,31,0,43,0,21,15,14,0,28,0,0,17,26,15,0,0,0,0,0,1,1,0,5,1,0,0,21,0,1,40,5,14,4,8,1,0,0,0,0,0
46,1,6,24,59,3,0,0,46,0,27,0,0,0,3,58,4,5,0,0,0,0,1,0,0,0,0,1,56,40,1,3,0,1,0,20,14,2,82,1,1,0,1,56,3,45,0,1,0,2,0,0,50,21,0,0,3,111,14,1,6,0,72,17,1,8,54,2,0,2,0,31,1,18,0,2,0,0,0,0,0,1,0,7,6,0,0,0,0,0,2,0,11,0,1,0,77,7,0,0,0,0,1,0,0,101,0,0,10,56,2,20,10,1,17,19,0,0,58,19,0,0,0,8,1,19,0,25,0,8,32,0,7,0,0,0,24,0,0,0,5,8,2,0,22,0,28,50,14,0,0,0,3,0,4,1,34,6,0,44,20,22,0,0,0,21,0,0,0,1,0,0,33,30,40,0,2,0,0,11,0,0,0,2,30,0,0,0,1,0,0,26,0,84,18,0,0,0,2,0,0,6,13,3,24,0,4,0,1,2,1,1,2,42,35,0,17,0,3,0,32,0,74,0,12,0,25,3,1,0,0,33,43,76,16,0,31,0,0,1,0,0,19,41,1,46,0,21,13,1,0,34,0,0,10,20,17,0,0,0,0,0,1,0,0,2,0,0,0,47,6,6,15,4,14,1,23,0,0,0,0,0,0
71,0,0,24,83,0,0,0,84,0,18,0,0,1,1,55,4,2,0,0,0,0,6,0,0,0,0,0,60,24,0,3,0,0,0,43,9,0,85,0,1,0,0,80,1,36,0,0,0,2,0,0,42,3,0,0,7,75,0,0,0,0,65,8,0,3,40,1,0,0,0,59,4,8,0,0,0,0,0,1,0,0,0,11,4,2,2,0,1,0,0,0,3,0,0,0,63,6,1,5,0,2,1,3,0,53,0,2,5,78,0,15,18,1,9,7,1,0,57,9,0,0,1,9,0,34,0,22,0,6,70,0,15,0,0,0,14,0,0,0,4,5,0,0,35,0,30,40,17,0,0,0,0,0,4,0,39,1,1,43,39,27,0,0,0,23,1,0,0,1,0,0,36,33,24,0,0,0,0,9,0,1,0,3,8,0,0,1,3,0,5,13,0,82,13,0,1,0,0,1,6,0,36,0,11,0,5,0,0,2,0,1,0,61,61,1,24,0,1,13,32,0,38,0,16,4,13,0,0,6,0,32,47,75,34,0,21,0,0,0,3,0,22,19,1,39,0,43,22,3,0,29,0,0,17,29,13,2,0,0,1,0,0,0,0,6,0,0,0,39,6,0,21,3,15,0,29,2,1,0,0,0,0
70,0,1,35,87,0,0,0,45,0,31,0,0,0,4,44,3,12,0,0,0,0,3,0,0,0,0,1,41,25,3,2,0,0,2,24,15,1,64,0,0,1,0,46,0,42,0,0,0,0,8,0,30,12,0,0,7,120,9,4,6,0,71,10,0,13,47,1,1,0,0,43,5,5,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,2,0,6,3,4,0,56,4,0,2,0,2,3,0,1,83,0,0,5,41,1,8,16,1,9,10,2,0,37,8,0,0,0,2,1,17,0,15,0,13,40,0,34,0,0,0,20,0,0,0,1,10,1,0,30,0,23,65,15,0,0,3,0,1,0,0,27,1,0,25,44,17,0,0,1,19,0,1,1,7,0,0,50,45,61,0,0,0,0,10,0,0,0,5,19,0,0,8,3,0,8,10,1,95,18,0,0,1,1,0,2,9,5,0,7,0,0,0,0,2,0,0,0,72,39,0,17,0,3,0,18,2,66,0,7,0,21,0,12,1,0,30,85,60,19,0,11,0,0,1,0,0,23,52,0,45,0,12,11,6,0,35,0,0,29,32,14,0,0,0,2,0,2,1,0,4,3,0,0,46,5,0,30,11,12,0,37,0,0,1,0,1,0
56,0,3,18,87,7,0,0,80,0,14,0,0,0,3,43,4,5,0,0,0,0,16,0,0,0,0,8,52,43,0,6,0,0,0,38,23,1,92,0,0,1,0,36,2,31,0,0,0,1,2,2,28,10,0,0,11,96,10,0,0,1,81,8,1,9,67,2,0,0,0,78,6,25,0,0,0,0,0,0,0,0,0,12,4,2,1,0,2,0,0,0,7,0,3,0,55,5,0,0,0,5,1,0,1,79,0,0,4,54,0,4,19,0,8,27,3,0,44,15,0,2,0,8,0,27,0,23,0,10,25,0,11,0,1,0,9,1,1,0,11,21,0,0,32,0,25,27,12,0,0,1,0,2,3,0,39,8,0,60,29,23,2,0,0,22,1,1,0,0,0,1,36,36,76,0,0,0,0,15,1,0,1,0,17,0,0,5,2,0,4,18,0,62,9,0,1,0,0,0,3,1,9,0,16,0,0,0,1,3,0,1,1,71,29,1,8,0,0,1,21,0,57,0,4,5,15,0,5,2,0,30,73,34,27,0,11,1,0,0,0,0,26,10,0,40,1,39,20,6,0,19,0,0,17,38,8,0,0,0,1,0,1,7,0,4,0,0,0,30,0,1,33,13,19,2,28,3,0,5,0,1,1
83,1,0,13,56,1,0,0,24,0,27,0,0,2,1,79,1,2,0,0,0,0,6,0,0,0,0,2,47,38,0,7,0,0,2,29,15,5,85,0,1,0,1,76,3,36,2,0,0,2,5,0,35,20,0,0,13,104,15,0,1,1,93,16,4,15,81,0,0,0,0,62,4,7,0,0,0,0,0,0,0,0,0,13,5,1,1,0,2,0,0,0,8,0,1,0,61,6,0,0,0,1,5,0,0,104,0,0,1,63,4,20,21,0,7,5,0,4,35,3,0,0,0,14,5,25,0,20,0,23,34,0,2,0,1,1,25,0,0,0,4,5,0,0,40,0,24,58,17,0,0,0,1,0,0,1,32,2,0,30,35,13,0,0,0,44,9,1,0,1,0,0,27,23,24,0,0,1,0,8,0,1,0,1,22,2,0,1,5,0,3,11,0,105,12,0,0,0,1,1,2,3,9,1,2,0,3,1,0,0,0,0,1,48,23,0,11,0,5,1,24,1,53,0,37,3,24,1,0,7,0,17,43,61,19,0,12,0,1,0,0,0,24,23,0,35,4,29,11,1,0,33,0,4,28,27,12,0,0,0,0,1,3,1,0,1,0,0,0,53,5,3,26,5,15,1,20,3,0,0,0,0,0
61,0,4,26,58,14,0,0,35,0,22,0,0,3,1,78,0,12,0,0,0,0,3,0,0,0,0,1,59,35,0,5,0,2,0,23,36,2,99,0,0,0,0,59,1,25,0,1,0,1,0,2,31,24,0,0,6,121,27,0,7,3,65,13,1,8,39,3,0,0,0,63,2,11,0,5,1,0,0,0,0,0,0,16,2,0,5,1,4,0,0,0,10,0,1,0,70,1,0,0,0,2,1,0,0,55,0,0,0,66,0,20,18,1,33,19,0,0,56,17,0,0,0,9,0,20,0,30,0,9,36,0,7,0,0,0,26,1,0,0,3,14,0,0,30,1,19,71,27,0,0,0,2,0,4,0,40,4,0,31,28,25,0,0,0,12,1,0,0,4,0,1,37,31,26,0,0,0,0,12,0,1,1,10,17,2,0,2,3,0,10,10,0,107,7,0,0,1,2,0,0,2,4,0,5,1,2,0,0,5,3,0,0,44,41,0,16,0,0,0,42,0,57,0,14,1,17,0,1,1,0,30,51,41,17,0,24,0,1,0,0,0,23,22,0,33,0,18,12,6,0,53,8,1,28,21,14,3,0,0,1,3,1,0,0,2,0,0,0,20,1,1,27,6,19,0,18,0,0,0,0,0,1
75,0,0,22,72,14,1,0,37,0,21,0,0,0,1,55,3,2,0,0,0,0,2,0,0,0,0,1,42,53,0,0,1,0,0,25,15,0,102,1,1,2,0,59,0,27,0,0,1,0,0,1,58,12,0,1,15,120,6,0,3,0,71,1,0,9,60,1,0,0,0,53,43,15,0,0,1,0,0,0,0,0,0,12,6,3,1,1,1,1,0,1,9,0,6,0,60,18,1,0,0,0,2,1,1,53,0,0,1,58,0,19,13,2,9,14,3,0,47,6,0,0,0,6,0,22,0,20,2,20,21,0,5,0,0,2,16,0,0,0,1,17,0,1,41,1,36,50,20,0,3,3,0,0,0,0,30,1,0,43,42,24,0,0,0,46,0,0,0,1,0,0,42,16,40,0,0,0,0,20,2,1,0,1,10,2,0,1,2,0,8,13,0,104,13,0,0,0,4,0,4,3,8,0,5,0,1,0,0,1,1,0,1,45,26,0,17,0,0,0,28,0,59,0,8,3,36,0,1,1,0,26,73,53,30,0,26,0,2,0,0,0,27,21,0,26,0,14,19,0,0,45,0,0,24,23,9,0,0,0,2,1,2,0,0,2,1,0,0,22,2,2,30,5,12,1,19,5,0,0,0,0,0
53,0,6,22,76,5,0,0,31,1,19,0,0,1,2,64,5,2,0,1,0,1,4,0,0,0,0,0,53,33,2,1,0,2,2,17,24,2,109,0,0,2,0,85,7,41,0,0,0,0,0,1,14,14,0,0,11,92,0,1,0,0,48,8,2,5,77,0,0,0,0,41,5,24,0,0,1,0,0,0,0,1,2,19,2,0,3,0,8,0,0,0,1,2,3,0,64,3,0,0,0,1,0,1,0,91,0,0,3,80,1,7,8,1,8,10,0,0,34,19,0,0,0,15,0,18,0,26,0,10,40,0,6,0,0,0,21,0,0,0,15,14,0,1,56,0,45,45,27,0,0,1,0,0,5,0,28,5,0,50,33,9,2,0,0,18,0,0,1,0,0,0,57,23,32,0,0,0,0,17,1,0,0,5,27,0,0,2,2,0,5,22,0,79,14,0,2,0,7,0,0,1,16,1,16,0,2,1,0,2,0,0,0,40,36,0,7,0,5,0,18,0,82,0,25,12,21,0,2,3,0,20,59,81,37,0,11,4,0,0,0,0,27,10,2,34,0,20,32,2,0,23,0,0,25,28,16,0,0,0,1,0,0,2,0,1,3,0,0,14,3,1,26,3,17,0,25,0,1,0,0,0,1
50,1,1,22,50,4,0,0,34,1,29,0,0,0,1,41,7,5,0,2,0,0,4,0,0,0,1,0,54,11,0,11,2,0,1,18,38,3,56,0,0,0,2,93,2,37,0,0,1,1,0,0,47,13,1,0,10,81,6,0,10,2,73,25,1,8,68,1,0,1,0,29,1,4,0,1,0,5,0,0,0,0,0,7,1,0,1,0,0,0,1,0,11,0,5,0,61,14,0,0,0,2,6,0,1,65,0,0,13,59,0,19,18,15,21,7,1,0,68,18,0,0,0,6,0,17,0,26,2,16,33,0,12,0,2,0,17,4,1,0,8,6,0,0,27,0,51,46,17,0,0,0,0,0,1,0,63,8,2,23,35,10,1,0,0,30,2,0,0,1,0,0,39,23,45,1,0,2,0,17,2,0,0,0,23,1,0,1,3,0,3,19,0,80,13,0,0,0,12,5,2,3,6,1,9,0,7,1,0,2,2,0,0,77,38,0,25,0,1,1,26,0,62,0,10,11,17,1,1,3,0,26,58,80,45,0,18,0,1,0,2,0,6,14,1,42,0,13,16,4,0,20,0,1,32,24,18,0,0,0,1,0,4,0,0,5,0,0,0,30,16,0,19,8,9,3,12,4,0,0,0,1,0
55,0,6,19,57,3,0,0,55,0,35,0,0,0,1,58,8,11,0,0,0,0,3,0,0,1,0,0,41,49,1,5,0,1,1,30,14,1,83,0,2,0,0,19,3,20,0,0,2,0,3,0,36,18,2,1,8,124,0,0,2,3,50,10,0,5,55,0,0,0,0,61,5,17,0,0,0,1,0,0,0,0,0,26,3,2,0,0,3,0,0,0,14,0,3,0,68,7,0,0,3,0,1,1,2,93,0,0,3,74,0,10,19,0,15,8,1,0,49,18,0,1,0,9,0,37,0,20,0,4,49,0,13,0,1,0,37,0,1,0,2,21,4,0,30,0,33,50,13,1,0,2,1,0,1,0,21,2,0,45,33,22,0,0,0,33,0,1,2,1,0,0,30,37,30,0,0,2,0,10,10,1,0,2,24,0,0,6,3,0,16,32,1,54,6,0,3,0,3,0,0,1,7,2,20,0,9,0,0,4,2,1,0,59,28,0,17,1,0,0,30,1,70,1,14,12,26,1,2,1,0,33,54,67,23,0,30,0,0,0,2,0,24,20,6,26,0,31,16,3,0,14,0,0,19,24,9,0,0,0,2,1,0,0,2,0,2,0,0,36,3,3,25,3,12,2,21,0,0,0,0,0,1
95,1,1,17,58,3,0,0,47,0,25,0,1,1,1,41,3,0,0,0,3,2,3,0,0,0,0,0,77,58,2,2,0,0,2,44,26,0,83,0,0,0,1,78,0,25,0,0,0,0,0,0,54,11,0,0,2,106,6,1,4,0,80,17,3,19,41,0,0,0,0,36,3,14,0,1,0,0,0,1,0,0,0,19,2,0,2,0,4,0,1,0,1,0,1,0,57,7,0,1,0,3,4,1,1,56,0,0,1,50,0,8,10,0,11,7,0,0,42,10,0,0,0,17,0,12,0,20,0,10,28,0,6,0,1,0,32,4,0,0,13,20,1,2,23,1,28,35,43,0,0,0,4,0,0,0,28,2,0,51,48,32,1,0,0,28,1,0,0,0,0,0,31,25,43,0,0,0,0,12,1,0,1,2,13,1,0,7,2,0,4,17,0,86,6,0,2,0,0,0,0,1,8,0,4,0,4,0,0,2,2,2,0,74,38,0,6,0,0,0,38,0,61,1,11,3,17,1,3,5,0,20,49,35,16,0,30,0,0,0,0,1,37,19,12,40,0,34,21,2,0,21,0,1,29,23,12,1,0,0,0,2,5,0,0,8,0,0,0,46,0,2,31,6,15,0,24,1,0,0,0,0,2
